datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Coal,6375,0.085,False
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Gas,33371,0.447,False
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Hydro,241,0.003,True
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Multiple Fuels,202,0.002,False
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Nuclear,30314,0.406,False
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Oil,223,0.003,False
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Other Renewables,475,0.006,True
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Solar,6,0.000,True
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Storage,0,0.000,False
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,Wind,3399,0.045,True
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Coal,6352,0.085,False
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Gas,33498,0.449,False
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Hydro,238,0.003,True
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Multiple Fuels,202,0.002,False
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Nuclear,30391,0.407,False
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Oil,220,0.003,False
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Other Renewables,477,0.006,True
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Solar,6,0.000,True
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Storage,0,0.000,False
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,Wind,3143,0.042,True
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Coal,6353,0.084,False
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Gas,34636,0.459,False
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Hydro,235,0.003,True
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Multiple Fuels,206,0.002,False
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Nuclear,30444,0.404,False
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Oil,215,0.002,False
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Other Renewables,480,0.006,True
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Solar,6,0.000,True
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Storage,0,0.000,False
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,Wind,2774,0.036,True
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Coal,6344,0.083,False
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Gas,35488,0.466,False
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Hydro,232,0.003,True
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Multiple Fuels,212,0.002,False
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Nuclear,30408,0.399,False
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Oil,213,0.002,False
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Other Renewables,511,0.006,True
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Solar,6,0.000,True
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Storage,0,0.000,False
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,Wind,2691,0.035,True
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Coal,6427,0.082,False
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Gas,37187,0.476,False
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Hydro,239,0.003,True
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Multiple Fuels,268,0.003,False
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Nuclear,30632,0.392,False
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Oil,213,0.002,False
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Other Renewables,512,0.006,True
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Solar,6,0.000,True
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Storage,0,0.000,False
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,Wind,2613,0.033,True
